,Gene,HGNC Gene ID,Disease,MONDO Disease ID,SOP,Classification,Report Reference URL,Report Date,Status,Definitive,Gene QID,Disease QID
43,ANK2,HGNC:493,Brugada syndrome,MONDO_0015263,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/10145,false,error,no,Q4033031,absent
44,ANKRD1,HGNC:15819,hypertrophic cardiomyopathy,MONDO_0005045,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/10043,2017-09-18T00:00:00,error,no,Q18038575,absent
45,ANKRD11,HGNC:21316,KBG syndrome,MONDO_0007846,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/cf3e887e-8da4-45ea-bec8-9565f8246bc9--2019-11-26T17:00:00,2019-11-26T17:00:00.000Z,complete,yes,Q18039626,Q1718432
46,ANKRD26,HGNC:29186,thrombocytopenia 2,MONDO_0008555,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e86bee2b-8353-48c2-8ea3-a6b2b26cdb2f--2019-09-25T16:00:00,2019-09-25T16:00:00.000Z,error,yes,Q18036536,absent
47,AP1S2,HGNC:560,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9509,2017-10-20T00:00:00,error,yes,Q18033520,absent
48,APC,HGNC:583,APC-related attenuated familial adenomatous polyposis,MONDO_0016613,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9854,2017-09-11T00:00:00,complete,yes,Q14883378,Q56013863
49,APOB,HGNC:603,"hypercholesterolemia, autosomal dominant, type b",MONDO_0007751,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/1c26b83b-409e-47c7-9c53-6ca79472d6fc--2018-11-14T17:00:00,2018-11-14T17:00:00.000Z,complete,yes,Q14890615,Q55950229
50,AQP5,HGNC:638,"palmoplantar keratoderma, Bothnian type",MONDO_0010849,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/77aa086c-5551-4e23-9e35-7c4ff072e238--2018-07-06T15:25:35,2018-07-06T15:25:35.103Z,error,no,Q17831317,Q55999597
51,ARG1,HGNC:663,hyperargininemia,MONDO_0008814,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0157f793-9232-4700-bbf0-dfb16270f688--2018-09-18T16:00:00,2018-09-18T16:00:00.000Z,complete,yes,Q15935846,Q890367
52,ARHGEF6,HGNC:685,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/f846d8a2-27c2-4bb4-9c16-524a22ff5d3b--2018-06-28T18:46:01,2018-06-28T18:46:01.935Z,error,no,Q18034276,absent
53,ARHGEF6,HGNC:685,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/d248ef99-6ff8-43d8-a24e-dfce6b2db1c8--2018-05-17T16:00:00,2018-05-17T16:00:00.000Z,error,no,Q18034276,absent
54,ARHGEF9,HGNC:14561,complex neurodevelopmental disorder,MONDO_0100038,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/9305fb2c-6cdf-492d-9dd0-8b03dd4fab1c--2019-11-21T17:00:00,2019-11-21T17:00:00.000Z,error,no,Q18037016,absent
55,ARID1B,HGNC:18040,Coffin-Siris syndrome,MONDO_0015452,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d487e6c4-9727-4315-90a2-11338128a8e5--2019-12-04T20:07:34,2019-12-04T20:07:34.569Z,error,yes,Q18043083,absent
56,ARL2BP,HGNC:17146,retinitis pigmentosa with or without situs inversus,MONDO_0014186,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/afe2baae-73d8-4f77-a106-a9163dbde4ce--2018-07-06T15:35:45,2018-07-06T15:35:45.123Z,error,no,Q18037286,Q27677817
57,ARX,HGNC:18060,early infantile epileptic encephalopathy,MONDO_0016021,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3a5357ce-2161-4a7f-a8e1-a1dba4550e57--2019-06-21T12:15:28,2019-06-21T12:15:28.819Z,error,yes,Q15319726,absent
58,ASL,HGNC:746,argininosuccinic aciduria,MONDO_0008815,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c16021b9-f6db-4e41-90f3-4786d63a1fa3--2018-09-15T16:00:00,2018-09-15T16:00:00.000Z,complete,yes,Q425264,Q1654860
59,ASNS,HGNC:753,congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome,MONDO_0014258,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e1cea57d-fe02-469e-8c52-a383c3f5a0c6--2019-09-20T14:44:36,2019-09-20T14:44:36.691Z,complete,yes,Q17832258,Q55784753
60,ASS1,HGNC:758,citrullinemia type I,MONDO_0008988,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5dc5ef32-81ca-478e-be42-436da3416e4d--2018-12-27T17:00:00,2018-12-27T17:00:00.000Z,error,yes,Q17832405,absent
61,ATF6,HGNC:791,achromatopsia 7,MONDO_0014677,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/4842,2016-11-16T00:00:00,error,no,Q18036598,Q27677586
62,ATM,HGNC:795,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/9861,2017-08-28T00:00:00,error,no,Q14872807,Q783644
63,ATM,HGNC:795,hereditary breast carcinoma,MONDO_0016419,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9908,2017-07-12T00:00:00,error,yes,Q14872807,absent
64,ATM,HGNC:795,familial ovarian cancer,MONDO_0016248,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/10080,2017-07-12T00:00:00,error,no,Q14872807,Q172341
65,ATP6V1B1,HGNC:853,"renal tubular acidosis, distal, with progressive nerve deafness",MONDO_0009968,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c74d3789-9cfc-4be3-b23d-baf610620e6c--2017-12-19T05:00:00,2017-12-19T05:00:00.000Z,complete,yes,Q17834428,Q55998730
66,ATP7A,HGNC:869,Menkes disease,MONDO_0010651,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9510,2018-02-07T00:00:00,complete,yes,Q14884608,Q639203
67,ATP7B,HGNC:870,Wilson disease,MONDO_0010200,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/f0ac0a41-d7d5-4377-a622-1ee9bc4ed9f3--2019-03-27T16:00:00,2019-03-27T16:00:00.000Z,complete,yes,Q14913328,Q117121
68,ATRX,HGNC:886,X-linked intellectual disability-hypotonic face syndrome,MONDO_0010663,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9511,2018-02-07T00:00:00,complete,yes,Q17835753,Q55999563
69,AUH,HGNC:890,3-methylglutaconic aciduria type 1,MONDO_0009610,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/681f6747-37ce-498e-8bb1-eddd55a90e2c--2019-03-08T17:00:00,2019-03-08T17:00:00.000Z,complete,yes,Q6824005,Q27677578
70,AXIN2,HGNC:904,oligodontia-cancer predisposition syndrome,MONDO_0012075,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8439,2017-06-08T00:00:00,error,no,Q18032812,Q55783595
71,BAG3,HGNC:939,myofibrillar myopathy (disease),MONDO_0018943,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5466,2016-12-18T00:00:00,complete,yes,Q18034356,Q23893414
72,BAP1,HGNC:950,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8370,2017-07-22T00:00:00,error,no,Q18032813,Q56013982
73,BAP1,HGNC:950,BAP1-related tumor predisposition syndrome,MONDO_0013692,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d70c33af-2e4f-4489-9c29-797655015b1d--2019-03-21T17:57:13,2019-03-21T17:57:13.803Z,complete,yes,Q18032813,Q55784304
74,BARD1,HGNC:952,familial ovarian cancer,MONDO_0016248,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/9909,2017-08-09T00:00:00,error,no,Q17837678,Q172341
75,BARD1,HGNC:952,hereditary breast carcinoma,MONDO_0016419,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10081,2017-08-09T00:00:00,error,yes,Q17837678,absent
76,BARD1,HGNC:952,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8430,2017-06-08T00:00:00,error,no,Q17837678,Q783644
77,BCKDHA,HGNC:986,maple syrup urine disease type 1A,MONDO_0023691,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5c89a6c7-751a-4a99-8a32-97cc33c5df7c--2018-09-14T16:00:00,2018-09-14T16:00:00.000Z,complete,yes,Q17846479,Q56014603
78,BCKDHB,HGNC:987,maple syrup urine disease type 1B,MONDO_0023692,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0b0d314c-7355-441c-a357-72ba3e566c57--2019-02-08T17:00:00,2019-02-08T17:00:00.000Z,complete,yes,Q17846579,Q56014604
79,BCKDK,HGNC:16902,branched-chain keto acid dehydrogenase kinase deficiency,MONDO_0013970,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/f90aaad0-b56a-41dc-8d1f-9d12fc66113f--2019-01-08T17:00:00,2019-01-08T17:00:00.000Z,complete,yes,Q18035201,Q30990099
80,BCS1L,HGNC:1020,Bjornstad syndrome,MONDO_0009872,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7a26b6b5-e703-43fc-bcd0-eaff67ef8107--2018-07-09T16:00:00,2018-07-09T16:00:00.000Z,complete,yes,Q17847759,Q4919794
81,BCS1L,HGNC:1020,Leigh syndrome,MONDO_0009723,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/3b50d7db-1144-4187-a60c-72b45adb80bd--2019-09-19T15:53:15,2019-09-19T15:53:15.896Z,error,no,Q17847759,absent
82,BDP1,HGNC:13652,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/d300a54b-171c-4445-a138-a24409e99aae--2017-09-11T16:00:00,2017-09-11T16:00:00.000Z,error,no,Q18042077,Q9079046
83,BGN,HGNC:1044,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8260,2016-12-22T00:00:00,error,no,Q14905499,absent
84,BLM,HGNC:1058,Bloom syndrome,MONDO_0008876,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e0a20b67-5a62-462c-894b-76b60a66e979--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17848876,Q1469646
85,BMPR1A,HGNC:1076,generalized juvenile polyposis/juvenile polyposis coli,MONDO_0008276,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10029,2017-06-12T00:00:00,complete,yes,Q14904962,Q609165
86,BRAF,HGNC:1097,Noonan syndrome,MONDO_0018997,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/47cf08d5-efc6-4d42-b031-a06619873161--2018-07-24T13:46:04,2018-07-24T13:46:04.591Z,error,no,Q17853226,absent
87,BRAF,HGNC:1097,cardiofaciocutaneous syndrome,MONDO_0015280,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a53e5a92-126f-4b00-a89b-af55d4f342ca--2018-07-24T15:48:18,2018-07-24T15:48:18.387Z,error,yes,Q17853226,absent
88,BRAF,HGNC:1097,Costello syndrome,MONDO_0009026,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/f229eceb-8f5e-4ecb-a484-7863b8dc7d19--2018-07-24T18:33:55,2018-07-24T18:33:55.957Z,error,no,Q17853226,Q1136492
89,BRAF,HGNC:1097,Noonan syndrome with multiple lentigines,MONDO_0007893,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/888875a8-5654-486b-8e64-e1382ccc6650--2018-07-24T18:53:06,2018-07-24T18:53:06.864Z,error,no,Q17853226,absent
90,BRAF,HGNC:1097,Noonan syndrome-like disorder with loose anagen hair,MONDO_0011899,SOP5,No Reported Evidence,https://search.clinicalgenome.org/kb/gene-validity/b7c20d32-5bc0-43c4-9cb9-64094894a086--2018-07-25T13:46:40,2018-07-25T13:46:40.873Z,error,no,Q17853226,Q55783530
91,BRCA1,HGNC:1100,"breast-ovarian cancer, familial, susceptibility to, 1",MONDO_0011450,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9972,2017-09-13T00:00:00,complete,yes,Q227339,Q54553364
92,BRCA1,HGNC:1100,"Fanconi anemia, complementation group S",MONDO_0054748,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/aa39798d-9b6e-430d-8bc1-2a01f81f1f72--2020-01-24T02:47:31,2020-01-24T02:47:31.584Z,error,yes,Q227339,absent
93,BRCA2,HGNC:1101,"breast-ovarian cancer, familial, susceptibility to, 2",MONDO_0012933,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/8397,2017-09-13T00:00:00,complete,yes,Q17853272,Q19000869
94,BRCA2,HGNC:1101,Fanconi anemia complementation group D1,MONDO_0011584,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/48faf04b-ffc4-4163-8570-22f5c29c4064--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17853272,Q32146983
95,BRIP1,HGNC:20473,hereditary breast carcinoma,MONDO_0016419,SOP4,Refuted,https://search.clinicalgenome.org/kb/gene-validity/9910,2017-05-10T00:00:00,error,no,Q18047355,absent
96,BRIP1,HGNC:20473,familial ovarian cancer,MONDO_0016248,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9911,2016-10-12T00:00:00,complete,yes,Q18047355,Q172341
97,BRIP1,HGNC:20473,Fanconi anemia complementation group j,MONDO_0012187,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/40aae4ea-8c9b-42a7-9d02-0f52a184712f--2019-08-18T16:04:42,2019-08-18T16:04:42.255Z,complete,yes,Q18047355,Q32147098
98,BRWD3,HGNC:17342,X-linked syndromic intellectual disability,MONDO_0020119,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/b8a924e2-e76b-4363-bf38-d95fd53d6141--2018-09-20T19:23:12,2018-09-20T19:23:12.767Z,complete,yes,Q18053726,Q8041560
99,BSND,HGNC:16512,Bartter disease type 4a,MONDO_0011242,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9b69acb1-93bc-4bc0-8a33-77bf64179c32--2018-07-12T20:52:43,2018-07-12T20:52:43.945Z,complete,yes,Q18032616,Q27674850
100,BTD,HGNC:1122,biotinidase deficiency,MONDO_0009665,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/847f7f2b-575f-4a90-bf02-179d464e4841--2020-02-10T16:04:20,2020-02-10T16:04:20.913Z,complete,yes,Q18021004,Q776026
101,BUB1B,HGNC:1149,mosaic variegated aneuploidy syndrome 1,MONDO_0009759,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/59147f27-d5a3-4760-ba8d-0429bae3c906--2019-11-22T14:53:26,2019-11-22T14:53:26.352Z,complete,yes,Q17853927,Q26492834
102,C1QB,HGNC:1242,immunodeficiency due to a classical component pathway complement deficiency,MONDO_0015699,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3216,2017-01-09T00:00:00,error,yes,Q17854030,absent
103,CA5A,HGNC:1377,hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,MONDO_0014332,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/f7c5731a-866e-4a96-abb0-f0747f89280b--2018-09-10T16:00:00,2018-09-10T16:00:00.000Z,complete,yes,Q17854478,Q55784783
